id,name,lat,lon,departure,arrival
426,Ellis Ave & 60th St,41.78509715,-87.60107276,0.0,0.0
427,Cottage Grove Ave & 63rd St,41.78059901,-87.60611239,0.0,0.0
428,Dorchester Ave & 63rd St,41.78040565,-87.59141599,0.0,0.0
429,Cottage Grove Ave & 67th St,41.77372095,-87.60563486,0.0,1.0
430,MLK Jr Dr & 63rd St,41.78008064,-87.61594286,0.0,0.0
431,Eberhart Ave & 61st St,41.78414169,-87.61330783,27.0,27.0
432,Clark St & Lunt Ave,42.009074,-87.67419,0.0,0.0
433,Kedzie Ave & Harrison St,41.87359967,-87.70487075,0.0,0.0
434,Ogden Ave & Roosevelt Rd,41.86650148,-87.68469707,0.0,0.0
435,Kedzie Ave & Roosevelt Rd,41.86649278,-87.70649618,1.0,1.0
436,Fairfield Ave & Roosevelt Rd,41.866624,-87.694521,4.0,6.0
437,Washtenaw Ave & Ogden Ave,41.86193049,-87.69345045,0.0,0.0
438,Central Park Ave & Ogden Ave,41.85420431,-87.71540584,2.0,3.0
439,Kedzie Ave & 21st St,41.85353363,-87.70507303,13.0,15.0
440,Central Park Ave & 24th St,41.8481,-87.715068,13.0,18.0
441,Kedzie Ave & 24th St,41.84819094,-87.70541375,0.0,0.0
442,California Ave & 23rd Pl,41.84910969,-87.69513981,20.0,18.0
443,Millard Ave & 26th St,41.84456685,-87.71591031,3.0,7.0
444,Albany Ave & 26th St,41.84447501,-87.70201301,0.0,0.0
445,California Ave & 26th St,41.84404003,-87.69529592,1.0,2.0
446,Western Ave & 28th St,41.84151771,-87.68513144,0.0,0.0
447,Glenwood Ave & Morse Ave,42.00797192,-87.66550239,3.0,3.0
448,Warren Park East,42.00454962,-87.68066615,2.0,1.0
449,Clark St & Columbia Ave,42.00445063,-87.6724024,0.0,0.0
450,Warren Park West,42.001785,-87.688829,8.0,6.0
451,Sheridan Rd & Loyola Ave,42.00104378,-87.66119824,39.0,32.0
452,Western Ave & Granville Ave,41.99416137,-87.68943828,8.0,4.0
453,Clark St & Schreiber Ave,41.99925182,-87.67137734,1.0,3.0
454,Broadway & Granville Ave,41.99477969,-87.66028453,15.0,17.0
455,Maplewood Ave & Peterson Ave,41.99023603,-87.69336964,19.0,22.0
456,2112 W Peterson Ave,41.991178,-87.683593,29.0,24.0
457,Clark St & Elmdale Ave,41.99051756,-87.6698336,36.0,27.0
458,Broadway & Thorndale Ave,41.98974251,-87.66014062,0.0,0.0
459,Lakefront Trail & Bryn Mawr Ave,41.9840367,-87.65231047,8.0,8.0
460,Clark St & Bryn Mawr Ave,41.983593,-87.669154,38.0,39.0
461,Broadway & Ridge Ave,41.98404461,-87.66027383,26.0,36.0
462,Winchester (Ravenswood) Ave & Balmoral Ave,41.979762,-87.67753,10.0,7.0
463,Clark St & Berwyn Ave,41.97799665,-87.6680471,16.0,16.0
464,Damen Ave & Foster Ave,41.9756148,-87.67945904,1.0,4.0
465,Marine Dr & Ainslie St,41.9716,-87.650154,1.0,3.0
